Year: 1991, Month: 6, Day: 1, Timestamp: 675734400 -> New Licenses: 4
Year: 1999, Month: 5, Day: 1, Timestamp: 925516800 -> New Licenses: 335
Year: 1999, Month: 6, Day: 1, Timestamp: 928195200 -> New Licenses: 153
Year: 1999, Month: 7, Day: 1, Timestamp: 930787200 -> New Licenses: 191
Year: 1999, Month: 8, Day: 1, Timestamp: 933465600 -> New Licenses: 32
Year: 1999, Month: 9, Day: 1, Timestamp: 936144000 -> New Licenses: 242
Year: 1999, Month: 10, Day: 1, Timestamp: 938736000 -> New Licenses: 247
Year: 1999, Month: 11, Day: 1, Timestamp: 941414400 -> New Licenses: 55
Year: 1999, Month: 12, Day: 1, Timestamp: 944006400 -> New Licenses: 403
Year: 2000, Month: 1, Day: 1, Timestamp: 946684800 -> New Licenses: 235
Year: 2000, Month: 2, Day: 1, Timestamp: 949363200 -> New Licenses: 10
Year: 2000, Month: 3, Day: 1, Timestamp: 951868800 -> New Licenses: 6
Year: 2000, Month: 4, Day: 1, Timestamp: 954547200 -> New Licenses: 450
Year: 2000, Month: 5, Day: 1, Timestamp: 957139200 -> New Licenses: 327
Year: 2000, Month: 6, Day: 1, Timestamp: 959817600 -> New Licenses: 98
Year: 2000, Month: 7, Day: 1, Timestamp: 962409600 -> New Licenses: 196
Year: 2000, Month: 8, Day: 1, Timestamp: 965088000 -> New Licenses: 365
Year: 2000, Month: 9, Day: 1, Timestamp: 967766400 -> New Licenses: 19
Year: 2000, Month: 10, Day: 1, Timestamp: 970358400 -> New Licenses: 558
Year: 2000, Month: 11, Day: 1, Timestamp: 973036800 -> New Licenses: 284
Year: 2000, Month: 12, Day: 1, Timestamp: 975628800 -> New Licenses: 213
Year: 2001, Month: 1, Day: 1, Timestamp: 978307200 -> New Licenses: 267
Year: 2001, Month: 2, Day: 1, Timestamp: 980985600 -> New Licenses: 261
Year: 2001, Month: 3, Day: 1, Timestamp: 983404800 -> New Licenses: 202
Year: 2001, Month: 4, Day: 1, Timestamp: 986083200 -> New Licenses: 198
Year: 2001, Month: 5, Day: 1, Timestamp: 988675200 -> New Licenses: 462
Year: 2001, Month: 6, Day: 1, Timestamp: 991353600 -> New Licenses: 235
Year: 2001, Month: 7, Day: 1, Timestamp: 993945600 -> New Licenses: 280
Year: 2001, Month: 8, Day: 1, Timestamp: 996624000 -> New Licenses: 352
Year: 2001, Month: 9, Day: 1, Timestamp: 999302400 -> New Licenses: 275
Year: 2001, Month: 10, Day: 1, Timestamp: 1001894400 -> New Licenses: 295
Year: 2001, Month: 11, Day: 1, Timestamp: 1004572800 -> New Licenses: 327
Year: 2001, Month: 12, Day: 1, Timestamp: 1007164800 -> New Licenses: 392
Year: 2002, Month: 1, Day: 1, Timestamp: 1009843200 -> New Licenses: 512
Year: 2002, Month: 2, Day: 1, Timestamp: 1012521600 -> New Licenses: 136
Year: 2002, Month: 3, Day: 1, Timestamp: 1014940800 -> New Licenses: 344
Year: 2002, Month: 4, Day: 1, Timestamp: 1017619200 -> New Licenses: 518
Year: 2002, Month: 5, Day: 1, Timestamp: 1020211200 -> New Licenses: 536
Year: 2002, Month: 6, Day: 1, Timestamp: 1022889600 -> New Licenses: 175
Year: 2002, Month: 7, Day: 1, Timestamp: 1025481600 -> New Licenses: 333
Year: 2002, Month: 8, Day: 1, Timestamp: 1028160000 -> New Licenses: 251
Year: 2002, Month: 9, Day: 1, Timestamp: 1030838400 -> New Licenses: 603
Year: 2002, Month: 10, Day: 1, Timestamp: 1033430400 -> New Licenses: 182
Year: 2002, Month: 11, Day: 1, Timestamp: 1036108800 -> New Licenses: 385
Year: 2002, Month: 12, Day: 1, Timestamp: 1038700800 -> New Licenses: 292
Year: 2003, Month: 1, Day: 1, Timestamp: 1041379200 -> New Licenses: 413
Year: 2003, Month: 2, Day: 1, Timestamp: 1044057600 -> New Licenses: 123
Year: 2003, Month: 3, Day: 1, Timestamp: 1046476800 -> New Licenses: 303
Year: 2003, Month: 4, Day: 1, Timestamp: 1049155200 -> New Licenses: 310
Year: 2003, Month: 5, Day: 1, Timestamp: 1051747200 -> New Licenses: 655
Year: 2003, Month: 6, Day: 1, Timestamp: 1054425600 -> New Licenses: 407
Year: 2003, Month: 7, Day: 1, Timestamp: 1057017600 -> New Licenses: 435
Year: 2003, Month: 8, Day: 1, Timestamp: 1059696000 -> New Licenses: 226
Year: 2003, Month: 9, Day: 1, Timestamp: 1062374400 -> New Licenses: 450
Year: 2003, Month: 10, Day: 1, Timestamp: 1064966400 -> New Licenses: 347
Year: 2003, Month: 11, Day: 1, Timestamp: 1067644800 -> New Licenses: 707
Year: 2003, Month: 12, Day: 1, Timestamp: 1070236800 -> New Licenses: 286
Year: 2004, Month: 1, Day: 1, Timestamp: 1072915200 -> New Licenses: 1609
Year: 2004, Month: 2, Day: 1, Timestamp: 1075593600 -> New Licenses: 3
Year: 2004, Month: 3, Day: 1, Timestamp: 1078099200 -> New Licenses: 2
Year: 2004, Month: 4, Day: 1, Timestamp: 1080777600 -> New Licenses: 0
Year: 2004, Month: 5, Day: 1, Timestamp: 1083369600 -> New Licenses: 0
Year: 2004, Month: 6, Day: 1, Timestamp: 1086048000 -> New Licenses: 0
Year: 2004, Month: 7, Day: 1, Timestamp: 1088640000 -> New Licenses: 0
Year: 2004, Month: 8, Day: 1, Timestamp: 1091318400 -> New Licenses: 0
Year: 2004, Month: 9, Day: 1, Timestamp: 1093996800 -> New Licenses: 0
Year: 2004, Month: 10, Day: 1, Timestamp: 1096588800 -> New Licenses: 0
Year: 2004, Month: 11, Day: 1, Timestamp: 1099267200 -> New Licenses: 0
Year: 2004, Month: 12, Day: 1, Timestamp: 1101859200 -> New Licenses: 1
Year: 2005, Month: 1, Day: 1, Timestamp: 1104537600 -> New Licenses: 0
Year: 2005, Month: 2, Day: 1, Timestamp: 1107216000 -> New Licenses: 0
Year: 2005, Month: 3, Day: 1, Timestamp: 1109635200 -> New Licenses: 0
Year: 2005, Month: 4, Day: 1, Timestamp: 1112313600 -> New Licenses: 172
Year: 2005, Month: 5, Day: 1, Timestamp: 1114905600 -> New Licenses: 345
Year: 2005, Month: 6, Day: 1, Timestamp: 1117584000 -> New Licenses: 539
Year: 2005, Month: 7, Day: 1, Timestamp: 1120176000 -> New Licenses: 664
Year: 2005, Month: 8, Day: 1, Timestamp: 1122854400 -> New Licenses: 1089
Year: 2005, Month: 9, Day: 1, Timestamp: 1125532800 -> New Licenses: 363
Year: 2005, Month: 10, Day: 1, Timestamp: 1128124800 -> New Licenses: 923
Year: 2005, Month: 11, Day: 1, Timestamp: 1130803200 -> New Licenses: 1111
Year: 2005, Month: 12, Day: 1, Timestamp: 1133395200 -> New Licenses: 476
Year: 2006, Month: 1, Day: 1, Timestamp: 1136073600 -> New Licenses: 1171
Year: 2006, Month: 2, Day: 1, Timestamp: 1138752000 -> New Licenses: 573
Year: 2006, Month: 3, Day: 1, Timestamp: 1141171200 -> New Licenses: 636
Year: 2006, Month: 4, Day: 1, Timestamp: 1143849600 -> New Licenses: 613
Year: 2006, Month: 5, Day: 1, Timestamp: 1146441600 -> New Licenses: 1093
Year: 2006, Month: 6, Day: 1, Timestamp: 1149120000 -> New Licenses: 603
Year: 2006, Month: 7, Day: 1, Timestamp: 1151712000 -> New Licenses: 554
Year: 2006, Month: 8, Day: 1, Timestamp: 1154390400 -> New Licenses: 1160
Year: 2006, Month: 9, Day: 1, Timestamp: 1157068800 -> New Licenses: 729
Year: 2006, Month: 10, Day: 1, Timestamp: 1159660800 -> New Licenses: 567
Year: 2006, Month: 11, Day: 1, Timestamp: 1162339200 -> New Licenses: 642
Year: 2006, Month: 12, Day: 1, Timestamp: 1164931200 -> New Licenses: 774
Year: 2007, Month: 1, Day: 1, Timestamp: 1167609600 -> New Licenses: 1177
Year: 2007, Month: 2, Day: 1, Timestamp: 1170288000 -> New Licenses: 326
Year: 2007, Month: 3, Day: 1, Timestamp: 1172707200 -> New Licenses: 589
Year: 2007, Month: 4, Day: 1, Timestamp: 1175385600 -> New Licenses: 1510
Year: 2007, Month: 5, Day: 1, Timestamp: 1177977600 -> New Licenses: 417
Year: 2007, Month: 6, Day: 1, Timestamp: 1180656000 -> New Licenses: 891
Year: 2007, Month: 7, Day: 1, Timestamp: 1183248000 -> New Licenses: 1078
Year: 2007, Month: 8, Day: 1, Timestamp: 1185926400 -> New Licenses: 48
Year: 2007, Month: 9, Day: 1, Timestamp: 1188604800 -> New Licenses: 874
Year: 2007, Month: 10, Day: 1, Timestamp: 1191196800 -> New Licenses: 525
Year: 2007, Month: 11, Day: 1, Timestamp: 1193875200 -> New Licenses: 823
Year: 2007, Month: 12, Day: 1, Timestamp: 1196467200 -> New Licenses: 755
Year: 2008, Month: 1, Day: 1, Timestamp: 1199145600 -> New Licenses: 1337
Year: 2008, Month: 2, Day: 1, Timestamp: 1201824000 -> New Licenses: 324
Year: 2008, Month: 3, Day: 1, Timestamp: 1204329600 -> New Licenses: 654
Year: 2008, Month: 4, Day: 1, Timestamp: 1207008000 -> New Licenses: 653
Year: 2008, Month: 5, Day: 1, Timestamp: 1209600000 -> New Licenses: 816
Year: 2008, Month: 6, Day: 1, Timestamp: 1212278400 -> New Licenses: 953
Year: 2008, Month: 7, Day: 1, Timestamp: 1214870400 -> New Licenses: 720
Year: 2008, Month: 8, Day: 1, Timestamp: 1217548800 -> New Licenses: 83
Year: 2008, Month: 9, Day: 1, Timestamp: 1220227200 -> New Licenses: 474
Year: 2008, Month: 10, Day: 1, Timestamp: 1222819200 -> New Licenses: 1566
Year: 2008, Month: 11, Day: 1, Timestamp: 1225497600 -> New Licenses: 737
Year: 2008, Month: 12, Day: 1, Timestamp: 1228089600 -> New Licenses: 777
Year: 2009, Month: 1, Day: 1, Timestamp: 1230768000 -> New Licenses: 867
Year: 2009, Month: 2, Day: 1, Timestamp: 1233446400 -> New Licenses: 392
Year: 2009, Month: 3, Day: 1, Timestamp: 1235865600 -> New Licenses: 387
Year: 2009, Month: 4, Day: 1, Timestamp: 1238544000 -> New Licenses: 261
Year: 2009, Month: 5, Day: 1, Timestamp: 1241136000 -> New Licenses: 742
Year: 2009, Month: 6, Day: 1, Timestamp: 1243814400 -> New Licenses: 426
Year: 2009, Month: 7, Day: 1, Timestamp: 1246406400 -> New Licenses: 440
Year: 2009, Month: 8, Day: 1, Timestamp: 1249084800 -> New Licenses: 455
Year: 2009, Month: 9, Day: 1, Timestamp: 1251763200 -> New Licenses: 910
Year: 2009, Month: 10, Day: 1, Timestamp: 1254355200 -> New Licenses: 682
Year: 2009, Month: 11, Day: 1, Timestamp: 1257033600 -> New Licenses: 461
Year: 2009, Month: 12, Day: 1, Timestamp: 1259625600 -> New Licenses: 627
Year: 2010, Month: 1, Day: 1, Timestamp: 1262304000 -> New Licenses: 940
Year: 2010, Month: 2, Day: 1, Timestamp: 1264982400 -> New Licenses: 274
Year: 2010, Month: 3, Day: 1, Timestamp: 1267401600 -> New Licenses: 13
Year: 2010, Month: 4, Day: 1, Timestamp: 1270080000 -> New Licenses: 830
Year: 2010, Month: 5, Day: 1, Timestamp: 1272672000 -> New Licenses: 1034
Year: 2010, Month: 6, Day: 1, Timestamp: 1275350400 -> New Licenses: 564
Year: 2010, Month: 7, Day: 1, Timestamp: 1277942400 -> New Licenses: 1350
Year: 2010, Month: 8, Day: 1, Timestamp: 1280620800 -> New Licenses: 862
Year: 2010, Month: 9, Day: 1, Timestamp: 1283299200 -> New Licenses: 748
Year: 2010, Month: 10, Day: 1, Timestamp: 1285891200 -> New Licenses: 1399
Year: 2010, Month: 11, Day: 1, Timestamp: 1288569600 -> New Licenses: 989
Year: 2010, Month: 12, Day: 1, Timestamp: 1291161600 -> New Licenses: 344
Year: 2011, Month: 1, Day: 1, Timestamp: 1293840000 -> New Licenses: 2316
Year: 2011, Month: 2, Day: 1, Timestamp: 1296518400 -> New Licenses: 689
Year: 2011, Month: 3, Day: 1, Timestamp: 1298937600 -> New Licenses: 579
Year: 2011, Month: 4, Day: 1, Timestamp: 1301616000 -> New Licenses: 1077
Year: 2011, Month: 5, Day: 1, Timestamp: 1304208000 -> New Licenses: 599
Year: 2011, Month: 6, Day: 1, Timestamp: 1306886400 -> New Licenses: 1649
Year: 2011, Month: 7, Day: 1, Timestamp: 1309478400 -> New Licenses: 237
Year: 2011, Month: 8, Day: 1, Timestamp: 1312156800 -> New Licenses: 1706
Year: 2011, Month: 9, Day: 1, Timestamp: 1314835200 -> New Licenses: 631
Year: 2011, Month: 10, Day: 1, Timestamp: 1317427200 -> New Licenses: 1191
Year: 2011, Month: 11, Day: 1, Timestamp: 1320105600 -> New Licenses: 572
Year: 2011, Month: 12, Day: 1, Timestamp: 1322697600 -> New Licenses: 1135
Year: 2012, Month: 1, Day: 1, Timestamp: 1325376000 -> New Licenses: 1396
Year: 2012, Month: 2, Day: 1, Timestamp: 1328054400 -> New Licenses: 664
Year: 2012, Month: 3, Day: 1, Timestamp: 1330560000 -> New Licenses: 903
Year: 2012, Month: 4, Day: 1, Timestamp: 1333238400 -> New Licenses: 1529
Year: 2012, Month: 5, Day: 1, Timestamp: 1335830400 -> New Licenses: 528
Year: 2012, Month: 6, Day: 1, Timestamp: 1338508800 -> New Licenses: 1109
Year: 2012, Month: 7, Day: 1, Timestamp: 1341100800 -> New Licenses: 939
Year: 2012, Month: 8, Day: 1, Timestamp: 1343779200 -> New Licenses: 652
Year: 2012, Month: 9, Day: 1, Timestamp: 1346457600 -> New Licenses: 1447
Year: 2012, Month: 10, Day: 1, Timestamp: 1349049600 -> New Licenses: 406
Year: 2012, Month: 11, Day: 1, Timestamp: 1351728000 -> New Licenses: 1156
Year: 2012, Month: 12, Day: 1, Timestamp: 1354320000 -> New Licenses: 1154
Year: 2013, Month: 1, Day: 1, Timestamp: 1356998400 -> New Licenses: 1375
Year: 2013, Month: 2, Day: 1, Timestamp: 1359676800 -> New Licenses: 459
Year: 2013, Month: 3, Day: 1, Timestamp: 1362096000 -> New Licenses: 1029
Year: 2013, Month: 4, Day: 1, Timestamp: 1364774400 -> New Licenses: 727
Year: 2013, Month: 5, Day: 1, Timestamp: 1367366400 -> New Licenses: 1089
Year: 2013, Month: 6, Day: 1, Timestamp: 1370044800 -> New Licenses: 578
Year: 2013, Month: 7, Day: 1, Timestamp: 1372636800 -> New Licenses: 827
Year: 2013, Month: 8, Day: 1, Timestamp: 1375315200 -> New Licenses: 667
Year: 2013, Month: 9, Day: 1, Timestamp: 1377993600 -> New Licenses: 1076
Year: 2013, Month: 10, Day: 1, Timestamp: 1380585600 -> New Licenses: 1152
Year: 2013, Month: 11, Day: 1, Timestamp: 1383264000 -> New Licenses: 605
Year: 2013, Month: 12, Day: 1, Timestamp: 1385856000 -> New Licenses: 956
Year: 2014, Month: 1, Day: 1, Timestamp: 1388534400 -> New Licenses: 1095
Year: 2014, Month: 2, Day: 1, Timestamp: 1391212800 -> New Licenses: 382
Year: 2014, Month: 3, Day: 1, Timestamp: 1393632000 -> New Licenses: 537
Year: 2014, Month: 4, Day: 1, Timestamp: 1396310400 -> New Licenses: 580
Year: 2014, Month: 5, Day: 1, Timestamp: 1398902400 -> New Licenses: 1297
Year: 2014, Month: 6, Day: 1, Timestamp: 1401580800 -> New Licenses: 692
Year: 2014, Month: 7, Day: 1, Timestamp: 1404172800 -> New Licenses: 881
Year: 2014, Month: 8, Day: 1, Timestamp: 1406851200 -> New Licenses: 707
Year: 2014, Month: 9, Day: 1, Timestamp: 1409529600 -> New Licenses: 919
Year: 2014, Month: 10, Day: 1, Timestamp: 1412121600 -> New Licenses: 328
Year: 2014, Month: 11, Day: 1, Timestamp: 1414800000 -> New Licenses: 784
Year: 2014, Month: 12, Day: 1, Timestamp: 1417392000 -> New Licenses: 1023
Year: 2015, Month: 1, Day: 1, Timestamp: 1420070400 -> New Licenses: 1109
Year: 2015, Month: 2, Day: 1, Timestamp: 1422748800 -> New Licenses: 492
Year: 2015, Month: 3, Day: 1, Timestamp: 1425168000 -> New Licenses: 646
Year: 2015, Month: 4, Day: 1, Timestamp: 1427846400 -> New Licenses: 1605
Year: 2015, Month: 5, Day: 1, Timestamp: 1430438400 -> New Licenses: 1121
Year: 2015, Month: 6, Day: 1, Timestamp: 1433116800 -> New Licenses: 421
Year: 2015, Month: 7, Day: 1, Timestamp: 1435708800 -> New Licenses: 1402
Year: 2015, Month: 8, Day: 1, Timestamp: 1438387200 -> New Licenses: 2295
Year: 2015, Month: 9, Day: 1, Timestamp: 1441065600 -> New Licenses: 974
Year: 2015, Month: 10, Day: 1, Timestamp: 1443657600 -> New Licenses: 485
Year: 2015, Month: 11, Day: 1, Timestamp: 1446336000 -> New Licenses: 1573
Year: 2015, Month: 12, Day: 1, Timestamp: 1448928000 -> New Licenses: 716
Year: 2016, Month: 1, Day: 1, Timestamp: 1451606400 -> New Licenses: 1379
Year: 2016, Month: 2, Day: 1, Timestamp: 1454284800 -> New Licenses: 398
Year: 2016, Month: 3, Day: 1, Timestamp: 1456790400 -> New Licenses: 1058
Year: 2016, Month: 4, Day: 1, Timestamp: 1459468800 -> New Licenses: 839
Year: 2016, Month: 5, Day: 1, Timestamp: 1462060800 -> New Licenses: 1838
Year: 2016, Month: 6, Day: 1, Timestamp: 1464739200 -> New Licenses: 948
Year: 2016, Month: 7, Day: 1, Timestamp: 1467331200 -> New Licenses: 697
Year: 2016, Month: 8, Day: 1, Timestamp: 1470009600 -> New Licenses: 1285
Year: 2016, Month: 9, Day: 1, Timestamp: 1472688000 -> New Licenses: 1088
Year: 2016, Month: 10, Day: 1, Timestamp: 1475280000 -> New Licenses: 776
Year: 2016, Month: 11, Day: 1, Timestamp: 1477958400 -> New Licenses: 524
Year: 2016, Month: 12, Day: 1, Timestamp: 1480550400 -> New Licenses: 925
Year: 2017, Month: 1, Day: 1, Timestamp: 1483228800 -> New Licenses: 1466
Year: 2017, Month: 2, Day: 1, Timestamp: 1485907200 -> New Licenses: 602
Year: 2017, Month: 3, Day: 1, Timestamp: 1488326400 -> New Licenses: 896
Year: 2017, Month: 4, Day: 1, Timestamp: 1491004800 -> New Licenses: 779
Year: 2017, Month: 5, Day: 1, Timestamp: 1493596800 -> New Licenses: 1085
Year: 2017, Month: 6, Day: 1, Timestamp: 1496275200 -> New Licenses: 591
Year: 2017, Month: 7, Day: 1, Timestamp: 1498867200 -> New Licenses: 1000
Year: 2017, Month: 8, Day: 1, Timestamp: 1501545600 -> New Licenses: 875
Year: 2017, Month: 9, Day: 1, Timestamp: 1504224000 -> New Licenses: 1317
Year: 2017, Month: 10, Day: 1, Timestamp: 1506816000 -> New Licenses: 601
Year: 2017, Month: 11, Day: 1, Timestamp: 1509494400 -> New Licenses: 832
Year: 2017, Month: 12, Day: 1, Timestamp: 1512086400 -> New Licenses: 731
Year: 2018, Month: 1, Day: 1, Timestamp: 1514764800 -> New Licenses: 805
Year: 2018, Month: 2, Day: 1, Timestamp: 1517443200 -> New Licenses: 335
Year: 2018, Month: 3, Day: 1, Timestamp: 1519862400 -> New Licenses: 957
Year: 2018, Month: 4, Day: 1, Timestamp: 1522540800 -> New Licenses: 965
Year: 2018, Month: 5, Day: 1, Timestamp: 1525132800 -> New Licenses: 905
Year: 2018, Month: 6, Day: 1, Timestamp: 1527811200 -> New Licenses: 822
Year: 2018, Month: 7, Day: 1, Timestamp: 1530403200 -> New Licenses: 1303
Year: 2018, Month: 8, Day: 1, Timestamp: 1533081600 -> New Licenses: 919
Year: 2018, Month: 9, Day: 1, Timestamp: 1535760000 -> New Licenses: 353
Year: 2018, Month: 10, Day: 1, Timestamp: 1538352000 -> New Licenses: 839
Year: 2018, Month: 11, Day: 1, Timestamp: 1541030400 -> New Licenses: 838
Year: 2018, Month: 12, Day: 1, Timestamp: 1543622400 -> New Licenses: 951
Year: 2019, Month: 1, Day: 1, Timestamp: 1546300800 -> New Licenses: 691
Year: 2019, Month: 2, Day: 1, Timestamp: 1548979200 -> New Licenses: 461
Year: 2019, Month: 3, Day: 1, Timestamp: 1551398400 -> New Licenses: 771
