Year: 1991, Month: 6, Day: 1, Timestamp: 675734400 -> Services: 4
Year: 2001, Month: 3, Day: 1, Timestamp: 983404800 -> Services: 306
Year: 2001, Month: 4, Day: 1, Timestamp: 986083200 -> Services: 307
Year: 2001, Month: 5, Day: 1, Timestamp: 988675200 -> Services: 305
Year: 2001, Month: 6, Day: 1, Timestamp: 991353600 -> Services: 302
Year: 2001, Month: 7, Day: 1, Timestamp: 993945600 -> Services: 303
Year: 2001, Month: 8, Day: 1, Timestamp: 996624000 -> Services: 300
Year: 2001, Month: 9, Day: 1, Timestamp: 999302400 -> Services: 300
Year: 2001, Month: 10, Day: 1, Timestamp: 1001894400 -> Services: 296
Year: 2001, Month: 11, Day: 1, Timestamp: 1004572800 -> Services: 293
Year: 2001, Month: 12, Day: 1, Timestamp: 1007164800 -> Services: 291
Year: 2002, Month: 1, Day: 1, Timestamp: 1009843200 -> Services: 294
Year: 2002, Month: 2, Day: 1, Timestamp: 1012521600 -> Services: 288
Year: 2002, Month: 3, Day: 1, Timestamp: 1014940800 -> Services: 290
Year: 2002, Month: 4, Day: 1, Timestamp: 1017619200 -> Services: 290
Year: 2002, Month: 5, Day: 1, Timestamp: 1020211200 -> Services: 287
Year: 2002, Month: 6, Day: 1, Timestamp: 1022889600 -> Services: 287
Year: 2002, Month: 7, Day: 1, Timestamp: 1025481600 -> Services: 287
Year: 2002, Month: 8, Day: 1, Timestamp: 1028160000 -> Services: 287
Year: 2002, Month: 9, Day: 1, Timestamp: 1030838400 -> Services: 288
Year: 2002, Month: 10, Day: 1, Timestamp: 1033430400 -> Services: 285
Year: 2002, Month: 11, Day: 1, Timestamp: 1036108800 -> Services: 285
Year: 2002, Month: 12, Day: 1, Timestamp: 1038700800 -> Services: 284
Year: 2003, Month: 1, Day: 1, Timestamp: 1041379200 -> Services: 286
Year: 2003, Month: 2, Day: 1, Timestamp: 1044057600 -> Services: 286
Year: 2003, Month: 3, Day: 1, Timestamp: 1046476800 -> Services: 286
Year: 2003, Month: 4, Day: 1, Timestamp: 1049155200 -> Services: 285
Year: 2003, Month: 5, Day: 1, Timestamp: 1051747200 -> Services: 284
Year: 2003, Month: 6, Day: 1, Timestamp: 1054425600 -> Services: 283
Year: 2003, Month: 7, Day: 1, Timestamp: 1057017600 -> Services: 281
Year: 2003, Month: 8, Day: 1, Timestamp: 1059696000 -> Services: 280
Year: 2003, Month: 9, Day: 1, Timestamp: 1062374400 -> Services: 280
Year: 2003, Month: 10, Day: 1, Timestamp: 1064966400 -> Services: 278
Year: 2003, Month: 11, Day: 1, Timestamp: 1067644800 -> Services: 280
Year: 2003, Month: 12, Day: 1, Timestamp: 1070236800 -> Services: 279
Year: 2004, Month: 1, Day: 1, Timestamp: 1072915200 -> Services: 285
Year: 2004, Month: 2, Day: 1, Timestamp: 1075593600 -> Services: 276
Year: 2004, Month: 3, Day: 1, Timestamp: 1078099200 -> Services: 274
Year: 2004, Month: 4, Day: 1, Timestamp: 1080777600 -> Services: 274
Year: 2004, Month: 5, Day: 1, Timestamp: 1083369600 -> Services: 274
Year: 2004, Month: 6, Day: 1, Timestamp: 1086048000 -> Services: 268
Year: 2004, Month: 7, Day: 1, Timestamp: 1088640000 -> Services: 265
Year: 2004, Month: 8, Day: 1, Timestamp: 1091318400 -> Services: 262
Year: 2004, Month: 9, Day: 1, Timestamp: 1093996800 -> Services: 258
Year: 2004, Month: 10, Day: 1, Timestamp: 1096588800 -> Services: 252
Year: 2004, Month: 11, Day: 1, Timestamp: 1099267200 -> Services: 249
Year: 2004, Month: 12, Day: 1, Timestamp: 1101859200 -> Services: 249
Year: 2005, Month: 1, Day: 1, Timestamp: 1104537600 -> Services: 243
Year: 2005, Month: 2, Day: 1, Timestamp: 1107216000 -> Services: 240
Year: 2005, Month: 3, Day: 1, Timestamp: 1109635200 -> Services: 239
Year: 2005, Month: 4, Day: 1, Timestamp: 1112313600 -> Services: 241
Year: 2005, Month: 5, Day: 1, Timestamp: 1114905600 -> Services: 237
Year: 2005, Month: 6, Day: 1, Timestamp: 1117584000 -> Services: 238
Year: 2005, Month: 7, Day: 1, Timestamp: 1120176000 -> Services: 235
Year: 2005, Month: 8, Day: 1, Timestamp: 1122854400 -> Services: 232
Year: 2005, Month: 9, Day: 1, Timestamp: 1125532800 -> Services: 224
Year: 2005, Month: 10, Day: 1, Timestamp: 1128124800 -> Services: 222
Year: 2005, Month: 11, Day: 1, Timestamp: 1130803200 -> Services: 219
Year: 2005, Month: 12, Day: 1, Timestamp: 1133395200 -> Services: 215
Year: 2006, Month: 1, Day: 1, Timestamp: 1136073600 -> Services: 215
Year: 2006, Month: 2, Day: 1, Timestamp: 1138752000 -> Services: 214
Year: 2006, Month: 3, Day: 1, Timestamp: 1141171200 -> Services: 211
Year: 2006, Month: 4, Day: 1, Timestamp: 1143849600 -> Services: 208
Year: 2006, Month: 5, Day: 1, Timestamp: 1146441600 -> Services: 204
Year: 2006, Month: 6, Day: 1, Timestamp: 1149120000 -> Services: 203
Year: 2006, Month: 7, Day: 1, Timestamp: 1151712000 -> Services: 201
Year: 2006, Month: 8, Day: 1, Timestamp: 1154390400 -> Services: 192
Year: 2006, Month: 9, Day: 1, Timestamp: 1157068800 -> Services: 189
Year: 2006, Month: 10, Day: 1, Timestamp: 1159660800 -> Services: 186
Year: 2006, Month: 11, Day: 1, Timestamp: 1162339200 -> Services: 181
Year: 2006, Month: 12, Day: 1, Timestamp: 1164931200 -> Services: 179
Year: 2007, Month: 1, Day: 1, Timestamp: 1167609600 -> Services: 169
Year: 2007, Month: 2, Day: 1, Timestamp: 1170288000 -> Services: 169
Year: 2007, Month: 3, Day: 1, Timestamp: 1172707200 -> Services: 160
Year: 2007, Month: 4, Day: 1, Timestamp: 1175385600 -> Services: 157
Year: 2007, Month: 5, Day: 1, Timestamp: 1177977600 -> Services: 156
Year: 2007, Month: 6, Day: 1, Timestamp: 1180656000 -> Services: 156
Year: 2007, Month: 7, Day: 1, Timestamp: 1183248000 -> Services: 150
Year: 2007, Month: 8, Day: 1, Timestamp: 1185926400 -> Services: 150
Year: 2007, Month: 9, Day: 1, Timestamp: 1188604800 -> Services: 148
Year: 2007, Month: 10, Day: 1, Timestamp: 1191196800 -> Services: 149
Year: 2007, Month: 11, Day: 1, Timestamp: 1193875200 -> Services: 151
Year: 2007, Month: 12, Day: 1, Timestamp: 1196467200 -> Services: 155
Year: 2008, Month: 1, Day: 1, Timestamp: 1199145600 -> Services: 156
Year: 2008, Month: 2, Day: 1, Timestamp: 1201824000 -> Services: 155
Year: 2008, Month: 3, Day: 1, Timestamp: 1204329600 -> Services: 154
Year: 2008, Month: 4, Day: 1, Timestamp: 1207008000 -> Services: 153
Year: 2008, Month: 5, Day: 1, Timestamp: 1209600000 -> Services: 151
Year: 2008, Month: 6, Day: 1, Timestamp: 1212278400 -> Services: 154
Year: 2008, Month: 7, Day: 1, Timestamp: 1214870400 -> Services: 150
Year: 2008, Month: 8, Day: 1, Timestamp: 1217548800 -> Services: 145
Year: 2008, Month: 9, Day: 1, Timestamp: 1220227200 -> Services: 144
Year: 2008, Month: 10, Day: 1, Timestamp: 1222819200 -> Services: 149
Year: 2008, Month: 11, Day: 1, Timestamp: 1225497600 -> Services: 146
Year: 2008, Month: 12, Day: 1, Timestamp: 1228089600 -> Services: 148
Year: 2009, Month: 1, Day: 1, Timestamp: 1230768000 -> Services: 144
Year: 2009, Month: 2, Day: 1, Timestamp: 1233446400 -> Services: 143
Year: 2009, Month: 3, Day: 1, Timestamp: 1235865600 -> Services: 140
Year: 2009, Month: 4, Day: 1, Timestamp: 1238544000 -> Services: 141
Year: 2009, Month: 5, Day: 1, Timestamp: 1241136000 -> Services: 149
Year: 2009, Month: 6, Day: 1, Timestamp: 1243814400 -> Services: 149
Year: 2009, Month: 7, Day: 1, Timestamp: 1246406400 -> Services: 148
Year: 2009, Month: 8, Day: 1, Timestamp: 1249084800 -> Services: 148
Year: 2009, Month: 9, Day: 1, Timestamp: 1251763200 -> Services: 151
Year: 2009, Month: 10, Day: 1, Timestamp: 1254355200 -> Services: 153
Year: 2009, Month: 11, Day: 1, Timestamp: 1257033600 -> Services: 154
Year: 2009, Month: 12, Day: 1, Timestamp: 1259625600 -> Services: 157
Year: 2010, Month: 1, Day: 1, Timestamp: 1262304000 -> Services: 163
Year: 2010, Month: 2, Day: 1, Timestamp: 1264982400 -> Services: 162
Year: 2010, Month: 3, Day: 1, Timestamp: 1267401600 -> Services: 162
Year: 2010, Month: 4, Day: 1, Timestamp: 1270080000 -> Services: 161
Year: 2010, Month: 5, Day: 1, Timestamp: 1272672000 -> Services: 162
Year: 2010, Month: 6, Day: 1, Timestamp: 1275350400 -> Services: 170
Year: 2010, Month: 7, Day: 1, Timestamp: 1277942400 -> Services: 170
Year: 2010, Month: 8, Day: 1, Timestamp: 1280620800 -> Services: 167
Year: 2010, Month: 9, Day: 1, Timestamp: 1283299200 -> Services: 167
Year: 2010, Month: 10, Day: 1, Timestamp: 1285891200 -> Services: 162
Year: 2010, Month: 11, Day: 1, Timestamp: 1288569600 -> Services: 157
Year: 2010, Month: 12, Day: 1, Timestamp: 1291161600 -> Services: 155
Year: 2011, Month: 1, Day: 1, Timestamp: 1293840000 -> Services: 151
Year: 2011, Month: 2, Day: 1, Timestamp: 1296518400 -> Services: 149
Year: 2011, Month: 3, Day: 1, Timestamp: 1298937600 -> Services: 149
Year: 2011, Month: 4, Day: 1, Timestamp: 1301616000 -> Services: 148
Year: 2011, Month: 5, Day: 1, Timestamp: 1304208000 -> Services: 144
Year: 2011, Month: 6, Day: 1, Timestamp: 1306886400 -> Services: 143
Year: 2011, Month: 7, Day: 1, Timestamp: 1309478400 -> Services: 143
Year: 2011, Month: 8, Day: 1, Timestamp: 1312156800 -> Services: 140
Year: 2011, Month: 9, Day: 1, Timestamp: 1314835200 -> Services: 137
Year: 2011, Month: 10, Day: 1, Timestamp: 1317427200 -> Services: 135
Year: 2011, Month: 11, Day: 1, Timestamp: 1320105600 -> Services: 132
Year: 2011, Month: 12, Day: 1, Timestamp: 1322697600 -> Services: 130
Year: 2012, Month: 1, Day: 1, Timestamp: 1325376000 -> Services: 128
Year: 2012, Month: 2, Day: 1, Timestamp: 1328054400 -> Services: 127
Year: 2012, Month: 3, Day: 1, Timestamp: 1330560000 -> Services: 127
Year: 2012, Month: 4, Day: 1, Timestamp: 1333238400 -> Services: 125
Year: 2012, Month: 5, Day: 1, Timestamp: 1335830400 -> Services: 121
Year: 2012, Month: 6, Day: 1, Timestamp: 1338508800 -> Services: 120
Year: 2012, Month: 7, Day: 1, Timestamp: 1341100800 -> Services: 117
Year: 2012, Month: 8, Day: 1, Timestamp: 1343779200 -> Services: 114
Year: 2012, Month: 9, Day: 1, Timestamp: 1346457600 -> Services: 111
Year: 2012, Month: 10, Day: 1, Timestamp: 1349049600 -> Services: 110
Year: 2012, Month: 11, Day: 1, Timestamp: 1351728000 -> Services: 105
Year: 2012, Month: 12, Day: 1, Timestamp: 1354320000 -> Services: 103
Year: 2013, Month: 1, Day: 1, Timestamp: 1356998400 -> Services: 102
Year: 2013, Month: 2, Day: 1, Timestamp: 1359676800 -> Services: 102
Year: 2013, Month: 3, Day: 1, Timestamp: 1362096000 -> Services: 102
Year: 2013, Month: 4, Day: 1, Timestamp: 1364774400 -> Services: 99
Year: 2013, Month: 5, Day: 1, Timestamp: 1367366400 -> Services: 96
Year: 2013, Month: 6, Day: 1, Timestamp: 1370044800 -> Services: 93
Year: 2013, Month: 7, Day: 1, Timestamp: 1372636800 -> Services: 92
Year: 2013, Month: 8, Day: 1, Timestamp: 1375315200 -> Services: 92
Year: 2013, Month: 9, Day: 1, Timestamp: 1377993600 -> Services: 91
Year: 2013, Month: 10, Day: 1, Timestamp: 1380585600 -> Services: 84
Year: 2013, Month: 11, Day: 1, Timestamp: 1383264000 -> Services: 81
Year: 2013, Month: 12, Day: 1, Timestamp: 1385856000 -> Services: 80
Year: 2014, Month: 1, Day: 1, Timestamp: 1388534400 -> Services: 62
Year: 2014, Month: 2, Day: 1, Timestamp: 1391212800 -> Services: 61
Year: 2014, Month: 3, Day: 1, Timestamp: 1393632000 -> Services: 61
Year: 2014, Month: 4, Day: 1, Timestamp: 1396310400 -> Services: 59
Year: 2014, Month: 5, Day: 1, Timestamp: 1398902400 -> Services: 55
Year: 2014, Month: 6, Day: 1, Timestamp: 1401580800 -> Services: 55
Year: 2014, Month: 7, Day: 1, Timestamp: 1404172800 -> Services: 53
Year: 2014, Month: 8, Day: 1, Timestamp: 1406851200 -> Services: 53
Year: 2014, Month: 9, Day: 1, Timestamp: 1409529600 -> Services: 52
Year: 2014, Month: 10, Day: 1, Timestamp: 1412121600 -> Services: 50
Year: 2014, Month: 11, Day: 1, Timestamp: 1414800000 -> Services: 48
Year: 2014, Month: 12, Day: 1, Timestamp: 1417392000 -> Services: 47
Year: 2015, Month: 1, Day: 1, Timestamp: 1420070400 -> Services: 44
Year: 2015, Month: 2, Day: 1, Timestamp: 1422748800 -> Services: 44
Year: 2015, Month: 3, Day: 1, Timestamp: 1425168000 -> Services: 44
Year: 2015, Month: 4, Day: 1, Timestamp: 1427846400 -> Services: 44
Year: 2015, Month: 5, Day: 1, Timestamp: 1430438400 -> Services: 40
Year: 2015, Month: 6, Day: 1, Timestamp: 1433116800 -> Services: 31
Year: 2015, Month: 7, Day: 1, Timestamp: 1435708800 -> Services: 29
Year: 2015, Month: 8, Day: 1, Timestamp: 1438387200 -> Services: 21
Year: 2015, Month: 9, Day: 1, Timestamp: 1441065600 -> Services: 21
Year: 2015, Month: 10, Day: 1, Timestamp: 1443657600 -> Services: 21
Year: 2015, Month: 11, Day: 1, Timestamp: 1446336000 -> Services: 20
Year: 2015, Month: 12, Day: 1, Timestamp: 1448928000 -> Services: 20
Year: 2016, Month: 1, Day: 1, Timestamp: 1451606400 -> Services: 20
Year: 2016, Month: 2, Day: 1, Timestamp: 1454284800 -> Services: 20
Year: 2016, Month: 3, Day: 1, Timestamp: 1456790400 -> Services: 20
Year: 2016, Month: 4, Day: 1, Timestamp: 1459468800 -> Services: 20
Year: 2016, Month: 5, Day: 1, Timestamp: 1462060800 -> Services: 20
Year: 2016, Month: 6, Day: 1, Timestamp: 1464739200 -> Services: 20
Year: 2016, Month: 7, Day: 1, Timestamp: 1467331200 -> Services: 20
Year: 2016, Month: 8, Day: 1, Timestamp: 1470009600 -> Services: 20
Year: 2016, Month: 9, Day: 1, Timestamp: 1472688000 -> Services: 20
Year: 2016, Month: 10, Day: 1, Timestamp: 1475280000 -> Services: 20
Year: 2016, Month: 11, Day: 1, Timestamp: 1477958400 -> Services: 20
Year: 2016, Month: 12, Day: 1, Timestamp: 1480550400 -> Services: 20
Year: 2017, Month: 1, Day: 1, Timestamp: 1483228800 -> Services: 20
Year: 2017, Month: 2, Day: 1, Timestamp: 1485907200 -> Services: 20
Year: 2017, Month: 3, Day: 1, Timestamp: 1488326400 -> Services: 20
Year: 2017, Month: 4, Day: 1, Timestamp: 1491004800 -> Services: 20
Year: 2017, Month: 5, Day: 1, Timestamp: 1493596800 -> Services: 20
Year: 2017, Month: 6, Day: 1, Timestamp: 1496275200 -> Services: 20
Year: 2017, Month: 7, Day: 1, Timestamp: 1498867200 -> Services: 20
Year: 2017, Month: 8, Day: 1, Timestamp: 1501545600 -> Services: 20
Year: 2017, Month: 9, Day: 1, Timestamp: 1504224000 -> Services: 20
Year: 2017, Month: 10, Day: 1, Timestamp: 1506816000 -> Services: 20
Year: 2017, Month: 11, Day: 1, Timestamp: 1509494400 -> Services: 20
Year: 2017, Month: 12, Day: 1, Timestamp: 1512086400 -> Services: 20
Year: 2018, Month: 1, Day: 1, Timestamp: 1514764800 -> Services: 20
Year: 2018, Month: 2, Day: 1, Timestamp: 1517443200 -> Services: 20
Year: 2018, Month: 3, Day: 1, Timestamp: 1519862400 -> Services: 20
Year: 2018, Month: 4, Day: 1, Timestamp: 1522540800 -> Services: 20
Year: 2018, Month: 5, Day: 1, Timestamp: 1525132800 -> Services: 20
Year: 2018, Month: 6, Day: 1, Timestamp: 1527811200 -> Services: 20
Year: 2018, Month: 7, Day: 1, Timestamp: 1530403200 -> Services: 20
Year: 2018, Month: 8, Day: 1, Timestamp: 1533081600 -> Services: 20
Year: 2018, Month: 9, Day: 1, Timestamp: 1535760000 -> Services: 20
Year: 2018, Month: 10, Day: 1, Timestamp: 1538352000 -> Services: 20
Year: 2018, Month: 11, Day: 1, Timestamp: 1541030400 -> Services: 20
Year: 2018, Month: 12, Day: 1, Timestamp: 1543622400 -> Services: 20
Year: 2019, Month: 1, Day: 1, Timestamp: 1546300800 -> Services: 20
Year: 2019, Month: 2, Day: 1, Timestamp: 1548979200 -> Services: 20
Year: 2019, Month: 3, Day: 1, Timestamp: 1551398400 -> Services: 20
Year: 2019, Month: 4, Day: 1, Timestamp: 1554076800 -> Services: 20
Year: 2019, Month: 5, Day: 1, Timestamp: 1556668800 -> Services: 20
Year: 2019, Month: 6, Day: 1, Timestamp: 1559347200 -> Services: 20
Year: 2019, Month: 7, Day: 1, Timestamp: 1561939200 -> Services: 20
Year: 2019, Month: 8, Day: 1, Timestamp: 1564617600 -> Services: 20
Year: 2019, Month: 9, Day: 1, Timestamp: 1567296000 -> Services: 20
Year: 2019, Month: 10, Day: 1, Timestamp: 1569888000 -> Services: 20
Year: 2019, Month: 11, Day: 1, Timestamp: 1572566400 -> Services: 20
Year: 2019, Month: 12, Day: 1, Timestamp: 1575158400 -> Services: 20
Year: 2020, Month: 1, Day: 1, Timestamp: 1577836800 -> Services: 20
Year: 2020, Month: 2, Day: 1, Timestamp: 1580515200 -> Services: 20
Year: 2020, Month: 3, Day: 1, Timestamp: 1583020800 -> Services: 20
Year: 2020, Month: 4, Day: 1, Timestamp: 1585699200 -> Services: 20
Year: 2020, Month: 5, Day: 1, Timestamp: 1588291200 -> Services: 20
Year: 2020, Month: 6, Day: 1, Timestamp: 1590969600 -> Services: 20
Year: 2020, Month: 7, Day: 1, Timestamp: 1593561600 -> Services: 20
Year: 2020, Month: 8, Day: 1, Timestamp: 1596240000 -> Services: 20
Year: 2020, Month: 9, Day: 1, Timestamp: 1598918400 -> Services: 20
Year: 2020, Month: 10, Day: 1, Timestamp: 1601510400 -> Services: 20
Year: 2020, Month: 11, Day: 1, Timestamp: 1604188800 -> Services: 20
Year: 2020, Month: 12, Day: 1, Timestamp: 1606780800 -> Services: 20
Year: 2021, Month: 1, Day: 1, Timestamp: 1609459200 -> Services: 20
Year: 2021, Month: 2, Day: 1, Timestamp: 1612137600 -> Services: 20
Year: 2021, Month: 3, Day: 1, Timestamp: 1614556800 -> Services: 20
Year: 2021, Month: 4, Day: 1, Timestamp: 1617235200 -> Services: 20
Year: 2021, Month: 5, Day: 1, Timestamp: 1619827200 -> Services: 20
Year: 2021, Month: 6, Day: 1, Timestamp: 1622505600 -> Services: 20
